"Dte.","Barris","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre","Acumulat/1r Trimestre","Acumulat/2n Trimestre","Acumulat/3r Trimestre","Acumulat/4rt Trimestre"
7,"37. el Carmel","9,2","9,6","9,8","10,7","9,2","9,4","9,5","9,8"
7,"38. la Teixonera",9,"9,9","9,9","11,6",9,"9,5","9,7","10,2"
7,"39. Sant Genís dels Agudells","8,4","8,6","8,7","9,1","8,4","8,5","8,6","8,7"
7,"40. Montbau","9,2","9,7",11,"10,7","9,2","9,5","10,1","10,3"
7,"41. la Vall d'Hebron",11,"10,5","11,7","11,4",11,"10,8","11,2","11,2"
7,"42. la Clota","n.d.","n.d.","n.d.","n.d.","n.d.","11,5","11,4","12,3"
7,"43. Horta","9,8","11,2","10,7","10,8","9,8","10,5","10,5","10,6"
8,"44. Vilapicina i la Torre Llobeta","10,3","10,2","10,3","11,3","10,3","10,2","10,2","10,5"
8,"45. Porta","9,2","9,9","10,6","10,5","9,2","9,5","9,9",10
8,"46. el Turó de la Peira","8,9","9,5","9,7","9,6","8,9","9,2","9,4","9,5"
8,"47. Can Peguera","n.d.","n.d.","n.d.","10,5","n.d.","n.d.","6,9","8,1"
8,"48. la Guineueta","8,5","8,6","8,8","9,2","8,5","8,6","8,7","8,8"
8,"49. Canyelles",8,"8,1","8,4","7,7",8,"8,1","8,2",8
8,"50. les Roquetes","8,4","9,2","9,9",10,"8,4","8,8","9,1","9,4"
8,"51. Verdun",10,"9,6","9,9","10,9",10,"9,8","9,8","10,1"
8,"52. la Prosperitat","9,1",10,"10,7","11,1","9,1","9,6",10,"10,3"
8,"53. la Trinitat Nova","8,7","9,4","7,8","8,7","8,7","8,9","8,6","8,6"
8,"54. Torre Baró","6,6","6,8","n.d.","10,1","6,6","6,7","6,6","7,4"
8,"55. Ciutat Meridiana","6,2","7,2","6,4","7,7","6,2","6,8","6,7",7
8,"56. Vallbona","7,1","n.d.","n.d.","n.d.","7,1",7,"7,8","7,9"
9,"57. la Trinitat Vella","7,4","8,5","8,4","9,6","7,4",8,"8,1","8,5"
9,"58. Baró de Viver","3,2","n.d.","3,8","n.d.","3,2","2,8","3,3","3,5"
9,"59. el Bon Pastor","8,2","8,7","9,1","9,1","8,2","8,4","8,6","8,7"
9,"60. Sant Andreu","10,3","11,4","10,8","11,2","10,3","10,8","10,8","10,9"
9,"61. la Sagrera","10,8",10,"10,4","10,7","10,8","10,4","10,4","10,5"
9,"62. el Congrés i els Indians","9,6","10,3","11,3","10,5","9,6",10,"10,4","10,4"
9,"63. Navas","10,3","10,4","10,5","11,9","10,3","10,3","10,4","10,8"
10,"64. el Camp de l'Arpa del Clot","11,1","11,3","11,9","12,4","11,1","11,2","11,5","11,7"
10,"65. el Clot","10,2","11,4","11,7","11,4","10,2","10,8","11,1","11,2"
10,"66. el Parc i la Llacuna del Poblenou","12,1","12,5","12,5","13,7","12,1","12,4","12,4","12,8"
10,"67. la Vila Olímpica del Poblenou","15,8","17,2",15,"16,7","15,8","16,5",16,"16,2"
10,"68. el Poblenou","11,9","12,7","13,1","13,4","11,9","12,3","12,6","12,8"
10,"69. Diagonal Mar i el Front Marítim del Poblenou","11,8","14,3","14,3","16,7","11,8","12,8","13,2","13,9"
10,"70. el Besòs i el Maresme","8,5",9,"8,7","8,9","8,5","8,7","8,7","8,8"
10,"71. Provençals del Poblenou","10,6","11,2","12,7","12,7","10,6","10,9","11,5","11,8"
10,"72. Sant Martí de Provençals","9,4",10,"9,9","10,7","9,4","9,7","9,7",10
10,"73. la Verneda i la Pau","9,2","9,3",9,"9,1","9,2","9,2","9,1","9,1"
