"Dte.","Barris","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre","Acumulat/1r Trimestre","Acumulat/2n Trimestre","Acumulat/3r Trimestre","Acumulat/4rt Trimestre"
"BARCELONA",,"11,6","12,1","12,4","12,7","11,6","11,8",12,"12,2"
1,"1. el Raval","11,6","11,8","12,5","13,2","11,6","11,7",12,"12,3"
1,"2. el Barri Gòtic","13,5","12,4","12,4","13,8","13,5","12,9","12,7",13
1,"3. la Barceloneta","17,3","17,7","19,2","18,6","17,3","17,5",18,"18,2"
1,"4. Sant Pere, Santa Caterina i la Ribera","12,9","14,1","14,4","14,8","12,9","13,6","13,8","14,1"
2,"5. el Fort Pienc","11,2","11,8","11,9",12,"11,2","11,5","11,6","11,8"
2,"6. la Sagrada Família","12,1","11,8","12,2","12,7","12,1","11,9",12,"12,2"
2,"7. la Dreta de l'Eixample","12,3","12,6","13,3",13,"12,3","12,5","12,8","12,9"
2,"8. l'Antiga Esquerra de l'Eixample","11,9","12,7","13,2","12,9","11,9","12,4","12,7","12,7"
2,"9. la Nova Esquerra de l'Eixample","11,5","12,5","12,5","12,9","11,5",12,"12,2","12,4"
2,"10. Sant Antoni","11,6","11,6","12,7","12,3","11,6","11,6",12,"12,1"
3,"11. el Poble Sec - AEI Parc Montjuïc","11,6","11,9","12,7","12,9","11,6","11,7","12,1","12,3"
3,"12. la Marina del Prat Vermell - AEI Zona Franca",7,"n.d.","n.d.","n.d.",7,"6,3","5,9","5,9"
3,"13. la Marina de Port","7,2","8,7","10,2","9,6","7,2",8,"8,6","8,9"
3,"14. la Font de la Guatlla","11,2","12,3","11,5",13,"11,2","11,8","11,7",12
3,"15. Hostafrancs","11,8","12,1",12,"12,6","11,8","11,9",12,"12,2"
3,"16. la Bordeta","10,6","10,7","10,9","11,2","10,6","10,6","10,7","10,8"
3,"17. Sants - Badal","11,1","11,6",12,"12,2","11,1","11,3","11,6","11,7"
3,"18. Sants","11,1","11,9","12,1","12,3","11,1","11,5","11,7","11,9"
4,"19. les Corts","12,6","12,5",13,"13,8","12,6","12,6","12,8",13
4,"20. la Maternitat i Sant Ramon","12,3","12,9","12,9","13,4","12,3","12,6","12,7","12,9"
4,"21. Pedralbes","15,1","14,2","14,4",15,"15,1","14,6","14,5","14,6"
5,"22. Vallvidrera, el Tibidabo i les Planes","11,2","17,5","17,1","15,4","11,2","14,5",15,"15,1"
5,"23. Sarrià","15,6","17,3","16,1","14,9","15,6","16,5","16,3","15,9"
5,"24. les Tres Torres","15,2","16,4","15,5","15,6","15,2","15,8","15,7","15,6"
5,"25. Sant Gervasi - la Bonanova",14,"14,3","14,3","14,2",14,"14,2","14,2","14,2"
5,"26. Sant Gervasi - Galvany","13,3","13,8","13,8","14,1","13,3","13,6","13,7","13,8"
5,"27. el Putxet i el Farró","13,1","14,6","13,7","13,6","13,1","13,8","13,8","13,7"
6,"28. Vallcarca i els Penitents","12,2","12,1","12,6","13,5","12,2","12,2","12,3","12,7"
6,"29. el Coll","10,7","11,4","10,8",12,"10,7",11,"10,9","11,2"
6,"30. la Salut","10,9","12,9","11,4","13,2","10,9","11,8","11,7","12,1"
6,"31. la Vila de Gràcia","12,7","13,2","13,6","14,3","12,7",13,"13,2","13,5"
6,"32. el Camp d'en Grassot i Gràcia Nova","11,9","12,3","12,8","12,8","11,9","12,1","12,4","12,5"
7,"33. el Baix Guinardó","11,3","10,9","11,8","11,8","11,3",11,"11,3","11,4"
7,"34. Can Baró","11,5","11,1","10,9","12,3","11,5","11,3","11,1","11,5"
7,"35. el Guinardó","10,8","10,5","11,5","11,7","10,8","10,7","10,9","11,1"
7,"36. la Font d'en Fargues","15,2","11,5","10,3","11,3","15,2","13,4","12,1","11,9"
