Grup d'Edat,Valor. Homes,Valor. Dones,Valor. Total,Variació (%). Homes,Variació (%). Dones,Variació (%). Total
menys de 25 anys,12016.20,8948.92,10471.48,-2.8,-12.4,-7.7
de 25 a 34 anys,20806.13,17760.41,19250.22,-4.9,-4.9,-4.9
de 35 a 44 anys,28300.77,22014.18,25273.28,-1.8,-1.2,-1.6
de 45 a 54 anys,31540.38,22097.78,26907.69,0.2,0.1,0.3
de 55 anys i més,31263.19,22171.56,26709.89,-0.7,0.5,-0.7
