Grup d'Edat,Valor. Homes,Valor. Dones,Valor. Total,Variació (%). Homes,Variació (%). Dones,Variació (%). Total
menys de 25 anys,12545.16,9656.64,11051.99,-7.7,-5.9,-6.6
de 25 a 34 anys,21485.76,18155.18,19901.30,-1.1,-1.2,-0.8
de 35 a 44 anys,27582.98,21876.45,24779.02,-1.5,1.3,-0.2
de 45 a 54 anys,30658.18,22720.94,26887.21,-3.3,5.4,0.6
de 55 anys i més,32144.78,21728.03,26939.09,1.6,1.0,0.3
