Grup d'Edat,Valor. Homes,Valor. Dones,Valor. Total,Variació (%). Homes,Variació (%). Dones,Variació (%). Total
menys de 25 anys,13589.54,10257.65,11835.17,13.1,14.6,13.0
de 25 a 34 anys,21725.29,18374.80,20051.79,4.4,3.5,4.2
de 35 a 44 anys,28007.67,21603.82,24819.40,-1.0,-1.9,-1.8
de 45 a 54 anys,31719.94,21556.39,26715.54,0.6,-2.4,-0.7
de 55 anys i més,31628.21,21514.58,26870.15,1.2,-3.0,0.6
