"Dte.","Barris","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre","Acumulat/1r Trimestre","Acumulat/2n Trimestre","Acumulat/3r Trimestre","Acumulat/4rt Trimestre"
"BARCELONA",,845.15,864.98,903.40,889.58,845.15,855.46,872.57,877.28
1,"1. el Raval",734.99,714.29,764.85,776.73,734.99,724.60,737.93,748.58
1,"2. el Barri Gòtic",905.26,968.16,1028.49,993.16,905.26,936.40,966.06,973.27
1,"3. la Barceloneta",722.78,738.25,758.18,766.03,722.78,730.86,739.29,745.81
1,"4. Sant Pere, Santa Caterina i la Ribera",895.28,930.13,927.16,914.78,895.28,912.84,917.40,916.65
2,"5. el Fort Pienc",871.08,884.99,933.54,910.78,871.08,878.45,896.35,900.42
2,"6. la Sagrada Família",847.04,867.97,906.78,877.02,847.04,858.18,875.96,876.25
2,"7. la Dreta de l'Eixample",1151.09,1218.18,1179.11,1225.08,1151.09,1185.06,1183.05,1195.23
2,"8. l'Antiga Esquerra de l'Eixample",1001.49,1044.28,1098.21,1081.29,1001.49,1024.54,1052.01,1060.03
2,"9. la Nova Esquerra de l'Eixample",909.08,949.96,950.15,957.00,909.08,930.05,937.24,943.23
2,"10. Sant Antoni",876.97,887.78,922.46,905.83,876.97,883.04,898.17,900.48
3,"11. el Poble Sec - AEI Parc Montjuïc",715.71,756.80,759.87,760.23,715.71,737.32,745.41,749.52
3,"12. la Marina del Prat Vermell - AEI Zona Franca","-","-","-","-","-","-","-","-"
3,"13. la Marina de Port",689.16,634.28,711.93,728.07,689.16,659.89,676.20,691.42
3,"14. la Font de la Guatlla",806.34,785.02,817.64,827.36,806.34,796.22,805.25,811.08
3,"15. Hostafrancs",680.17,749.61,777.64,771.78,680.17,715.02,737.18,747.09
3,"16. la Bordeta",739.35,760.98,861.69,786.53,739.35,749.65,791.30,789.98
3,"17. Sants - Badal",697.58,766.05,796.50,772.86,697.58,733.41,754.31,759.18
3,"18. Sants",737.27,780.27,812.48,806.56,737.27,759.33,779.46,787.23
4,"19. les Corts",936.32,1006.84,1013.57,1043.76,936.32,971.75,987.04,1002.47
4,"20. la Maternitat i Sant Ramon",896.45,882.05,970.71,935.38,896.45,888.62,920.96,925.16
4,"21. Pedralbes",1856.57,1666.63,1882.42,1737.92,1856.57,1746.60,1798.64,1785.63
5,"22. Vallvidrera, el Tibidabo i les Planes",1248.00,1101.67,1360.42,1213.95,1248.00,1178.68,1222.30,1220.00
5,"23. Sarrià",1291.50,1423.86,1364.01,1334.77,1291.50,1360.02,1361.46,1353.86
5,"24. les Tres Torres",1516.52,1646.76,1757.00,1588.53,1516.52,1587.32,1652.10,1634.12
5,"25. Sant Gervasi - la Bonanova",1182.12,1236.21,1324.40,1198.24,1182.12,1210.91,1251.48,1236.68
5,"26. Sant Gervasi - Galvany",1268.61,1287.23,1377.82,1315.80,1268.61,1277.53,1309.96,1311.47
5,"27. el Putxet i el Farró",913.45,902.42,962.41,938.20,913.45,908.02,926.71,930.19
6,"28. Vallcarca i els Penitents",946.59,917.84,912.51,875.53,946.59,932.77,926.02,910.93
6,"29. el Coll",687.42,701.29,799.44,711.57,687.42,694.36,730.41,724.94
6,"30. la Salut",841.38,855.70,804.26,741.29,841.38,848.45,833.27,799.97
6,"31. la Vila de Gràcia",837.09,852.57,867.94,879.85,837.09,844.99,852.85,860.63
6,"32. el Camp d'en Grassot i Gràcia Nova",839.29,872.41,880.00,862.51,839.29,856.51,864.79,864.07
7,"33. el Baix Guinardó",743.88,756.13,804.26,773.02,743.88,749.92,770.18,770.94
7,"34. Can Baró",637.30,710.18,698.03,693.65,637.30,676.17,684.08,686.96
7,"35. el Guinardó",722.67,722.28,739.68,759.06,722.67,722.46,727.89,736.91
7,"36. la Font d'en Fargues",812.93,721.47,922.75,822.82,812.93,764.95,814.60,817.10
7,"37. el Carmel",597.09,597.58,610.13,609.11,597.09,597.33,601.21,603.34
7,"38. la Teixonera",663.90,671.85,643.74,616.32,663.90,667.93,660.89,648.90
7,"39. Sant Genís dels Agudells",622.33,680.80,713.38,672.70,622.33,652.95,675.21,674.67
7,"40. Montbau",716.43,677.09,749.00,754.69,716.43,693.78,712.91,724.77
7,"41. la Vall d'Hebron",816.05,819.11,805.87,865.42,816.05,817.11,812.14,828.96
7,"42. la Clota","-","-","-","-","-","-","-",651.25
7,"43. Horta",669.89,708.69,704.57,708.88,669.89,688.56,694.69,698.37
8,"44. Vilapicina i la Torre Llobeta",687.37,699.81,750.43,723.34,687.37,693.11,711.29,714.83
8,"45. Porta",654.58,640.95,670.43,682.83,654.58,646.47,654.45,662.04
8,"46. el Turó de la Peira",587.02,600.84,613.80,653.52,587.02,593.93,601.08,615.50
8,"47. Can Peguera","-",407.22,"-","-","-",420.48,384.14,417.84
8,"48. la Guineueta",634.54,632.43,625.23,693.40,634.54,633.50,630.89,650.05
8,"49. Canyelles",689.62,677.50,701.50,656.15,689.62,684.35,689.90,680.56
8,"50. les Roquetes",504.31,505.97,560.56,565.18,504.31,505.27,522.84,533.39
8,"51. Verdun",595.48,579.67,593.64,600.37,595.48,585.83,588.38,591.66
8,"52. la Prosperitat",624.58,617.61,625.66,641.21,624.58,620.84,622.56,628.11
8,"53. la Trinitat Nova",540.68,533.30,538.45,551.22,540.68,536.43,537.20,541.48
8,"54. Torre Baró",418.07,"-",463.17,448.23,418.07,384.28,410.58,425.64
8,"55. Ciutat Meridiana",459.19,436.17,423.09,425.51,459.19,447.68,438.96,435.36
8,"56. Vallbona","-",302.52,"-","-","-",437.00,442.73,476.43
9,"57. la Trinitat Vella",497.84,434.91,532.33,535.92,497.84,462.49,483.00,497.60
9,"58. Baró de Viver","-","-","-","-","-",401.73,443.57,458.37
9,"59. el Bon Pastor",622.82,647.69,653.72,576.97,622.82,636.81,641.33,627.45
9,"60. Sant Andreu",708.60,728.09,744.73,751.95,708.60,718.66,727.09,733.94
9,"61. la Sagrera",575.23,656.71,692.49,732.23,575.23,618.01,643.75,667.56
9,"62. el Congrés i els Indians",696.04,724.28,761.19,742.89,696.04,709.51,726.19,730.84
9,"63. Navas",716.78,783.88,790.19,805.10,716.78,752.86,766.37,777.64
10,"64. el Camp de l'Arpa del Clot",756.57,765.74,797.70,789.59,756.57,761.52,773.75,778.14
10,"65. el Clot",774.97,740.91,775.27,777.21,774.97,756.76,763.34,767.51
10,"66. el Parc i la Llacuna del Poblenou",850.73,907.14,905.24,916.33,850.73,876.81,886.01,893.67
10,"67. la Vila Olímpica del Poblenou",1108.37,1345.63,1189.26,1349.82,1108.37,1233.52,1216.47,1259.70
10,"68. el Poblenou",868.90,899.89,917.87,911.12,868.90,885.09,895.68,900.22
10,"69. Diagonal Mar i el Front Marítim del Poblenou",1148.20,965.36,1093.34,1233.01,1148.20,1039.49,1055.02,1092.06
10,"70. el Besòs i el Maresme",588.90,606.61,625.13,621.32,588.90,599.07,609.19,613.03
10,"71. Provençals del Poblenou",999.62,941.16,933.90,864.09,999.62,970.68,958.26,932.02
10,"72. Sant Martí de Provençals",742.06,750.71,776.09,790.58,742.06,746.82,756.32,765.22
10,"73. la Verneda i la Pau",677.91,671.87,711.99,692.67,677.91,674.40,687.29,688.63
