"Dte.","Barris","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre"
5,"25. Sant Gervasi - la Bonanova","927,63","920,62","963,57","948,26","927,63","923,65","940,35","942,56"
5,"26. Sant Gervasi - Galvany","1.053,70","1.006,56","1.078,84","1.047,50","1.053,70","1.029,17","1.047,39","1.047,42"
5,"27. el Putxet i el Farró","750,84","761,35","766,33","761,70","750,84","756,27","759,85","760,35"
6,"28. Vallcarca i els Penitents","679,66","648,32","642,66","691,94","679,66","661,99","654,57","665,48"
6,"29. el Coll","583,93","551,40","537,15","552,75","583,93","566,77","556,68","555,87"
6,"30. la Salut","634,48","702,33","684,28","655,87","634,48","668,18","673,34","668,51"
6,"31. la Vila de Gràcia","679,80","673,79","691,69","681,25","679,80","676,63","681,87","681,71"
6,"32. el Camp d'en Grassot i Gràcia Nova","671,00","665,44","711,14","681,26","671,00","668,10","684,18","683,32"
7,"33. el Baix Guinardó","622,63","610,87","613,17","638,55","622,63","616,33","615,28","620,97"
7,"34. Can Baró","568,94","525,04","536,04","545,11","568,94","546,31","542,04","542,72"
7,"35. el Guinardó","586,50","564,10","585,39","590,31","586,50","574,33","578,18","581,39"
7,"36. la Font d'en Fargues","585,45","772,41","703,15","784,44","585,45","690,62","695,13","712,41"
7,"37. el Carmel","478,70","495,01","498,79","506,26","478,70","487,27","491,09","495,00"
7,"38. la Teixonera","492,79","476,94","469,77","506,77","492,79","484,51","479,13","486,44"
7,"39. Sant Genís dels Agudells","557,00","568,75","542,51","550,45","557,00","563,53","555,44","553,89"
7,"40. Montbau","537,94","535,88","578,50","544,47","537,94","536,69","555,55","552,54"
7,"41. la Vall d'Hebron","737,73","675,63","715,00","672,22","737,73","700,93","705,50","699,39"
7,"42. la Clota","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","506,67","480,00"
7,"43. Horta","556,30","566,67","562,86","585,58","556,30","561,60","562,05","567,24"
8,"44. Vilapicina i la Torre Llobeta","555,89","573,24","567,26","579,11","555,89","563,93","565,01","568,23"
8,"45. Porta","523,29","517,06","522,70","552,56","523,29","520,03","520,92","529,55"
8,"46. el Turó de la Peira","475,06","461,25","459,42","501,06","475,06","467,17","464,78","473,16"
8,"47. Can Peguera","241,99","295,39","145,45","n.d.","241,99","258,98","221,13","221,13"
8,"48. la Guineueta","613,58","613,14","607,74","620,83","613,58","613,33","611,88","614,56"
8,"49. Canyelles","563,33","474,29","532,67","566,36","563,33","515,38","524,64","536,41"
8,"50. les Roquetes","461,28","448,60","444,29","450,40","461,28","454,65","450,89","450,76"
8,"51. Verdun","503,47","465,56","484,98","502,41","503,47","481,61","482,81","487,88"
8,"52. la Prosperitat","521,81","501,40","479,48","515,99","521,81","511,14","500,68","504,86"
8,"53. la Trinitat Nova","442,94","449,31","416,65","420,98","442,94","446,21","438,90","434,42"
8,"54. Torre Baró","n.d.","320,21","n.d.","n.d.","n.d.","315,67","320,57","334,46"
8,"55. Ciutat Meridiana","359,27","406,17","372,44","360,94","359,27","379,37","376,89","372,85"
8,"56. Vallbona","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","282,50","281,71"
9,"57. la Trinitat Vella","461,10","407,26","419,12","400,76","461,10","434,18","428,40","422,91"
9,"58. Baró de Viver","n.d.","231,40","n.d.","n.d.","n.d.","212,70","223,28","241,15"
9,"59. el Bon Pastor","488,14","476,31","503,93","514,58","488,14","482,38","490,53","496,58"
9,"60. Sant Andreu","581,16","573,12","593,22","557,10","581,16","577,28","582,78","576,60"
9,"61. la Sagrera","626,26","622,71","570,36","616,27","626,26","624,59","604,08","607,04"
9,"62. el Congrés i els Indians","563,42","556,26","596,63","607,77","563,42","560,33","574,71","583,67"
9,"63. Navas","613,47","590,17","635,11","647,84","613,47","602,30","615,34","623,78"
10,"64. el Camp de l'Arpa del Clot","580,09","592,63","604,83","615,61","580,09","586,63","592,96","598,82"
10,"65. el Clot","604,85","641,11","607,62","643,75","604,85","622,78","617,35","624,84"
10,"66. el Parc i la Llacuna del Poblenou","704,67","678,23","739,94","634,12","704,67","690,67","708,92","693,72"
10,"67. la Vila Olímpica del Poblenou","926,43","988,89","1.121,06","991,06","926,43","961,47","1.007,26","1.003,24"
10,"68. el Poblenou","663,93","644,01","652,23","658,01","663,93","653,44","653,02","654,35"
10,"69. Diagonal Mar i el Front Marítim del Poblenou","866,70","817,93","896,42","1.130,29","866,70","846,77","860,96","892,03"
10,"70. el Besòs i el Maresme","516,90","480,69","423,45","504,19","516,90","498,03","469,19","477,06"
10,"71. Provençals del Poblenou","635,70","643,46","630,29","649,21","635,70","639,44","636,67","639,55"
10,"72. Sant Martí de Provençals","643,66","641,75","614,55","636,30","643,66","642,65","632,94","633,78"
10,"73. la Verneda i la Pau","568,68","569,14","569,84","552,58","568,68","568,94","569,26","565,47"
