"Dte.","Barris","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre"
"BARCELONA",,"674,87","667,89","701,98","705,73","674,87","671,42","681,83","688,23"
1,"1. el Raval","589,55","550,63","576,45","597,00","589,55","568,74","571,49","577,85"
1,"2. el Barri Gòtic","712,79","728,79","790,74","761,68","712,79","721,68","745,98","749,99"
1,"3. la Barceloneta","540,71","541,93","578,88","593,73","540,71","541,39","553,01","563,08"
1,"4. Sant Pere, Santa Caterina i la Ribera","673,44","676,98","699,10","687,33","673,44","675,47","684,43","685,14"
2,"5. el Fort Pienc","736,09","706,16","719,84","735,99","736,09","719,37","719,53","723,33"
2,"6. la Sagrada Família","673,37","663,23","697,69","687,26","673,37","667,61","678,23","680,68"
2,"7. la Dreta de l'Eixample","921,40","948,96","934,55","975,96","921,40","936,39","935,73","945,88"
2,"8. l'Antiga Esquerra de l'Eixample","827,87","821,81","869,72","848,56","827,87","824,77","842,10","843,86"
2,"9. la Nova Esquerra de l'Eixample","716,13","708,00","746,78","753,61","716,13","712,11","724,90","732,13"
2,"10. Sant Antoni","693,43","718,01","713,89","720,14","693,43","705,18","708,41","711,37"
3,"11. el Poble Sec - AEI Parc Montjuïc","568,00","578,65","580,89","602,55","568,00","573,40","575,96","582,60"
3,"12. la Marina del Prat Vermell - AEI Zona Franca","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","450,00"
3,"13. la Marina de Port","553,55","454,44","542,81","574,45","553,55","496,41","512,19","527,28"
3,"14. la Font de la Guatlla","631,50","624,88","630,89","679,58","631,50","628,31","629,37","644,64"
3,"15. Hostafrancs","580,71","584,91","605,58","603,86","580,71","582,88","590,49","593,91"
3,"16. la Bordeta","604,74","616,40","603,16","621,68","604,74","610,60","607,93","611,37"
3,"17. Sants - Badal","584,27","569,68","629,58","602,28","584,27","576,54","595,54","597,28"
3,"18. Sants","605,28","618,80","624,78","647,14","605,28","611,44","616,36","624,12"
4,"19. les Corts","777,23","765,29","786,29","802,23","777,23","770,87","776,78","782,88"
4,"20. la Maternitat i Sant Ramon","700,16","748,64","768,46","806,43","700,16","725,11","744,58","760,26"
4,"21. Pedralbes","1.230,00","1.459,12","1.506,20","1.762,06","1.230,00","1.344,56","1.405,80","1.473,83"
5,"22. Vallvidrera, el Tibidabo i les Planes","837,33","1.051,22","988,66","1.754,44","837,33","967,53","974,77","1.134,25"
5,"23. Sarrià","1.042,16","1.030,35","1.081,14","1.004,37","1.042,16","1.036,04","1.054,32","1.041,15"
5,"24. les Tres Torres","1.215,85","1.327,22","1.386,13","1.352,08","1.215,85","1.273,06","1.314,04","1.323,89"
