"Dte.","Barris","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre"
9,"63. Navas","665,9","650,8","685,0","688,4","665,9","658,7","666,8","672,0"
10,"64. el Camp de l'Arpa del Clot","615,5","624,2","669,0","660,7","615,5","620,1","637,0","644,0"
10,"65. el Clot","618,6","637,0","673,0","672,1","618,6","628,8","643,3","651,6"
10,"66. el Parc i la Llacuna del Poblenou","722,2","755,4","774,0","737,3","722,2","741,8","752,7","748,8"
10,"67. la Vila Olímpica del Poblenou","1.093,1","1.116,3","1.173,0","1.015,1","1.093,1","1.107,5","1.134,0","1.104,5"
10,"68. el Poblenou","682,8","711,5","764,0","773,5","682,8","698,2","719,9","735,0"
10,"69. Diagonal Mar i el Front Marítim del Poblenou","914,8","981,9","1.023,0","1.211,0","914,8","958,2","979,7","1.059,8"
10,"70. el Besòs i el Maresme","512,9","506,0","516,0","492,1","512,9","509,5","511,8","506,7"
10,"71. Provençals del Poblenou","612,1","670,4","679,0","685,3","612,1","641,1","654,2","661,4"
10,"72. Sant Martí de Provençals","662,3","697,3","672,0","666,8","662,3","678,8","676,3","673,9"
10,"73. la Verneda i la Pau","609,2","595,4","633,0","602,2","609,2","602,5","614,6","610,7"
