"Dte.","Barris","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre","Acumulat/1r Trimestre","Acumulat/2n Trimestre","Acumulat/3r Trimestre","Acumulat/4rt Trimestre"
"BARCELONA",,"755,2","774,1",826,"843,4","755,2","764,7","786,1","801,3"
1,"1. el Raval","624,4","662,3","666,2","716,7","624,4","642,8",650,667
1,"2. el Barri Gòtic","893,4","806,2","851,6",914,"893,4","850,3","850,8","868,9"
1,"3. la Barceloneta","638,7","659,3","686,6","686,3","638,7","648,7","660,1","667,3"
1,"4. Sant Pere, Santa Caterina i la Ribera","759,2","773,6","839,6","854,2","759,2","766,7","791,4","807,3"
2,"5. el Fort Pienc","800,1","808,1","868,3","816,5","800,1","804,1","826,2","823,5"
2,"6. la Sagrada Família","752,4","739,9","799,4","806,4","752,4",746,"764,7",776
2,"7. la Dreta de l'Eixample","1104,3","1120,4",1144,"1174,4","1104,3",1112,"1123,9","1138,1"
2,"8. l'Antiga Esquerra de l'Eixample","947,3","960,8","986,2","1012,2","947,3","954,6","967,1","979,2"
2,"9. la Nova Esquerra de l'Eixample","811,6","842,5","890,5","926,2","811,6","827,6",850,"870,5"
2,"10. Sant Antoni","805,9","793,6","883,3","882,5","805,9","799,5","828,3","842,5"
3,"11. el Poble Sec - AEI Parc Montjuïc","622,2","651,2","696,7","706,1","622,2","636,8","657,2","669,5"
3,"12. la Marina del Prat Vermell - AEI Zona Franca","360,9","n.d.","n.d.","n.d.","360,9","376,8","356,6","356,6"
3,"13. la Marina de Port","447,6","548,5","577,5","613,2","447,6","499,8","521,8","544,4"
3,"14. la Font de la Guatlla","638,7","751,7","764,4","786,4","638,7","693,8","719,7","737,2"
3,"15. Hostafrancs","662,3","673,2","702,7","703,3","662,3","667,6","681,8","687,9"
3,"16. la Bordeta","645,2","672,1","674,9","730,4","645,2","655,8","661,3","678,9"
3,"17. Sants - Badal","629,7","702,9","710,5","711,1","629,7","668,1","683,1","691,2"
3,"18. Sants","664,7","681,4","740,5","740,3","664,7","672,5","699,9","711,3"
4,"19. les Corts","892,7","912,5",950,"983,5","892,7","902,9","921,8","939,1"
4,"20. la Maternitat i Sant Ramon","777,9","821,2","892,3","866,4","777,9","801,5","841,2","847,9"
4,"21. Pedralbes","1572,6","1660,4","1689,6","1692,2","1572,6",1624,"1650,9","1661,8"
5,"22. Vallvidrera, el Tibidabo i les Planes","933,9","1117,7","1302,1","1354,6","933,9","1032,9",1104,"1153,4"
5,"23. Sarrià","1195,7","1197,6","1172,9","1185,8","1195,7","1196,7","1188,1","1187,5"
5,"24. les Tres Torres","1380,7","1560,7",1619,"1490,7","1380,7","1464,2","1525,7",1515
5,"25. Sant Gervasi - la Bonanova","1116,5","1096,7","1083,5","1197,7","1116,5","1106,8","1098,2","1125,3"
5,"26. Sant Gervasi - Galvany","1187,6","1189,1","1278,7",1299,"1187,6","1188,3","1221,6","1241,8"
5,"27. el Putxet i el Farró","827,8","891,6","876,8","904,2","827,8","860,2","866,5","876,6"
6,"28. Vallcarca i els Penitents","741,4","755,9","830,2","818,7","741,4","747,8","774,9","787,7"
6,"29. el Coll","590,5","592,8","635,1","653,7","590,5","591,7",608,620
6,"30. la Salut","684,5",773,"855,9","784,9","684,5",725,"769,1","773,4"
6,"31. la Vila de Gràcia",764,"773,7","827,8","829,2",764,"768,6","788,8","799,6"
6,"32. el Camp d'en Grassot i Gràcia Nova","802,7","780,4","805,9","823,7","802,7","791,6",797,"803,5"
7,"33. el Baix Guinardó","696,7","642,9","718,5","747,3","696,7","665,7",684,702
7,"34. Can Baró","595,9",632,"645,7","658,7","595,9","617,3","627,6","636,8"
7,"35. el Guinardó","646,8","634,8","679,4","705,7","646,8","640,8","653,5","666,4"
7,"36. la Font d'en Fargues","749,8","689,7","675,7","761,3","749,8","719,2",702,"717,4"
7,"37. el Carmel","518,2","550,3","557,6","597,1","518,2","533,9","541,3","554,9"
7,"38. la Teixonera","513,5","544,6","570,1","672,6","513,5","529,7","543,3","578,6"
7,"39. Sant Genís dels Agudells","616,4","592,4","603,8","623,6","616,4","604,6","604,4","609,3"
7,"40. Montbau","614,8","635,1","646,4","668,5","614,8",627,635,"644,3"
7,"41. la Vall d'Hebron","692,4","786,3","796,9","778,7","692,4","737,9","763,9","767,4"
7,"42. la Clota","n.d.","n.d.","n.d.","n.d.","n.d.","460,2","489,2","538,7"
7,"43. Horta","601,3","620,1","634,4","668,7","601,3","609,9",618,"630,6"
8,"44. Vilapicina i la Torre Llobeta","618,6",617,"640,5","684,2","618,6","617,7","624,5","638,5"
8,"45. Porta","536,7","574,4","617,2","672,6","536,7","557,3","576,4","603,6"
8,"46. el Turó de la Peira","537,9","547,7","538,1","582,1","537,9","542,8","541,3","552,2"
8,"47. Can Peguera","n.d.","n.d.","n.d.","301,8","n.d.","n.d.","214,1","253,1"
8,"48. la Guineueta","589,2",614,"632,3","666,8","589,2","599,1","610,2","623,4"
8,"49. Canyelles","619,9","621,4","648,8","617,5","619,9","620,4","628,5","625,6"
8,"50. les Roquetes","455,7","475,4","512,3",523,"455,7","465,8","478,8","489,5"
8,"51. Verdun","539,6","526,2","495,5","565,9","539,6","532,8","522,2","533,3"
8,"52. la Prosperitat",518,"550,3","584,5","589,2",518,"536,5","552,6","562,3"
8,"53. la Trinitat Nova","423,2","450,9","419,5","438,6","423,2","433,3","428,8","431,1"
8,"54. Torre Baró","392,4",447,0,"416,4","392,4","422,8","411,4","412,6"
8,"55. Ciutat Meridiana","344,3",428,"373,1","446,1","344,3",395,"387,8","402,6"
8,"56. Vallbona",418,"n.d.","n.d.","n.d.",418,"420,7","451,2","469,7"
9,"57. la Trinitat Vella","422,4","483,2","459,8","552,8","422,4","453,2","455,2","479,3"
9,"58. Baró de Viver","142,3","n.d.","256,4","n.d.","142,3",139,"190,4","216,4"
9,"59. el Bon Pastor","472,4","588,2","558,4","555,1","472,4","529,1","536,7","540,4"
9,"60. Sant Andreu","624,8","663,3","658,5","690,6","624,8","643,2","648,3","658,6"
9,"61. la Sagrera","658,1",620,"670,2","709,1","658,1","639,2","651,5","665,6"
9,"62. el Congrés i els Indians","613,7","635,8","691,9","662,3","613,7","624,8","645,9","649,7"
9,"63. Navas","665,3","704,4","712,3","768,7","665,3","682,3","693,3","714,1"
10,"64. el Camp de l'Arpa del Clot","659,6","690,8","715,5","720,4","659,6",675,"689,2",698
10,"65. el Clot","645,4","688,9","708,8","728,9","645,4",668,"682,3","695,5"
10,"66. el Parc i la Llacuna del Poblenou","799,6","759,1","839,1","886,7","799,6",775,"798,5","823,6"
10,"67. la Vila Olímpica del Poblenou",1136,"1151,5","1142,8","1285,6",1136,"1144,5","1143,9",1184
10,"68. el Poblenou","719,1","785,1","828,6","840,8","719,1","753,3",778,"794,1"
10,"69. Diagonal Mar i el Front Marítim del Poblenou","1004,5","1116,1","1268,5","1181,2","1004,5","1050,2","1109,5","1124,8"
10,"70. el Besòs i el Maresme","506,7","521,1","556,5","571,6","506,7",513,"528,3","541,2"
10,"71. Provençals del Poblenou","758,8","727,8","856,6","987,2","758,8","741,3","777,1","839,8"
10,"72. Sant Martí de Provençals","688,5","679,3","716,2","720,7","688,5","684,4","694,4","700,7"
10,"73. la Verneda i la Pau","597,9","613,2",617,"591,9","597,9","605,1","609,6","605,6"
